,Gini
0,0.0
1,0.11280000000000001
2,0.23060000000000003
3,0.3198
4,0.344
5,0.41380000000000006
6,0.43800000000000006
7,0.5304
8,0.5838
9,0.5824
10,0.5978
11,0.5966
12,0.6144000000000001
13,0.6437999999999999
14,0.6378
15,0.6434
16,0.6676
17,0.7118
18,0.7492000000000001
19,0.752
20,0.7988
21,0.8486
22,0.8496
23,0.9228000000000001
24,0.9482
25,0.9894000000000001
26,1.0128
27,1.0124
28,0.9968
29,1.0294
30,1.0536
31,1.0722
32,1.0804
33,1.0606
34,1.0862
35,1.1254
36,1.133
37,1.1426
38,1.1798
39,1.2058
40,1.2002
41,1.1784
42,1.187
43,1.1844000000000001
44,1.2072
45,1.2116
46,1.2058
47,1.2406
48,1.2392
49,1.251
50,1.271
51,1.2656
52,1.3032
53,1.3304
54,1.3712
55,1.415
56,1.4203999999999999
57,1.432
58,1.4018
59,1.4378
60,1.437
61,1.446
62,1.4567999999999999
63,1.4814
64,1.479
65,1.5148000000000001
66,1.5398
67,1.5392000000000001
68,1.5524
69,1.5390000000000001
70,1.5574
71,1.5136
72,1.5144
73,1.5138
74,1.5518
75,1.5594000000000001
76,1.5948
77,1.5842
78,1.5846
79,1.5744
80,1.6068
81,1.6254
82,1.6502
83,1.683
84,1.6632
85,1.6972
86,1.6907999999999999
87,1.6714
88,1.6816
89,1.7029999999999998
90,1.7226
91,1.7628
92,1.7774
93,1.8026
94,1.8519999999999999
95,1.8998
96,1.958
97,1.9426
98,1.9392
99,1.9404
